source_dataset,source_sheet,alloy,material_class,condition,loading_protocol,overload_ratio,delta_k_mpa_sqrt_m,dadn_mm_per_cycle,hardness_hv,microstructure_family,grain_size_um,temperature_C,stress_ratio_R,data_type,log_delta_k,log_dadn,is_austenitic,is_measured,grain_size_um_filled,inv_sqrt_grain_size
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,21.5,9.86012e-05,367.58,tempered_martensitic,,20,,measured,1.3324384599156054,-4.006117799559732,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,22.0,0.000105885,367.58,tempered_martensitic,,20,,measured,1.3424226808222062,-3.975165559048635,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,22.5,0.000113524,367.58,tempered_martensitic,,20,,measured,1.3521825181113625,-3.944912314984315,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,23.0,0.000121529,367.58,tempered_martensitic,,20,,measured,1.3617278360175928,-3.915320075669272,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,23.5,0.000129907,367.58,tempered_martensitic,,20,,measured,1.3710678622717363,-3.886367446467654,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,24.0,0.000138668,367.58,tempered_martensitic,,20,,measured,1.380211241711606,-3.8580237482045163,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,24.5,0.000147822,367.58,tempered_martensitic,,20,,measured,1.3891660843645324,-3.830260926106407,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,25.0,0.000157375,367.58,tempered_martensitic,,20,,measured,1.3979400086720377,-3.803064256884081,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.08309,6.20437e-06,367.58,tempered_martensitic,,20,,measured,1.003593643647429,-5.207302310767067,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.09005,6.24675e-06,367.58,tempered_martensitic,,20,,measured,1.0038933183350565,-5.204345874523492,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.09706,6.34345e-06,367.58,tempered_martensitic,,20,,measured,1.0041949369858203,-5.197674478956507,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.10419,6.48809e-06,367.58,tempered_martensitic,,20,,measured,1.0045015041323633,-5.187883134408449,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.11149,6.67441e-06,367.58,tempered_martensitic,,20,,measured,1.0048151566887646,-5.175587118737796,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.11901,6.89616e-06,367.58,tempered_martensitic,,20,,measured,1.0051380250958066,-5.161392670862143,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.12678,7.14702e-06,367.58,tempered_martensitic,,20,,measured,1.0054713752184803,-5.145875002580869,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.13485,7.42095e-06,367.58,tempered_martensitic,,20,,measured,1.0058173253374278,-5.129540494539263,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.14324,7.71203e-06,367.58,tempered_martensitic,,20,,measured,1.0061767014829215,-5.112831289684957,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.15197,8.01376e-06,367.58,tempered_martensitic,,20,,measured,1.0065503257086237,-5.096163668171901,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.16105,8.29123e-06,367.58,tempered_martensitic,,20,,measured,1.0069385884246873,-5.081381037291953,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.17045,8.49885e-06,367.58,tempered_martensitic,,20,,measured,1.0073401690676076,-5.0706398357495654,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.18011,8.68812e-06,367.58,tempered_martensitic,,20,,measured,1.007752470744837,-5.061074189254087,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.18999,8.95091e-06,367.58,tempered_martensitic,,20,,measured,1.0081737578094736,-5.048132809612768,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.2104,9.19795e-06,367.58,tempered_martensitic,,20,,measured,1.0090427562289235,-5.036308955577715,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.22091,9.35556e-06,367.58,tempered_martensitic,,20,,measured,1.0094895641337918,-5.028930211624056,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.23162,9.51246e-06,367.58,tempered_martensitic,,20,,measured,1.0099444021735189,-5.0217071564306535,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.24252,9.67159e-06,367.58,tempered_martensitic,,20,,measured,1.0104068206487247,-5.014502122456602,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.25363,9.84402e-06,367.58,tempered_martensitic,,20,,measured,1.0108776419655583,-5.00682751261645,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.26495,1.00163e-05,367.58,tempered_martensitic,,20,,measured,1.0113568382875187,-4.999292676306828,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.27648,1.0213e-05,367.58,tempered_martensitic,,20,,measured,1.0118443813555744,-4.990846668092291,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.28827,1.04225e-05,367.58,tempered_martensitic,,20,,measured,1.0123423531279163,-4.982028096201665,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.30031,1.06368e-05,367.58,tempered_martensitic,,20,,measured,1.0128502955074465,-4.97318900656802,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.31263,1.08545e-05,367.58,tempered_martensitic,,20,,measured,1.0133694362660342,-4.964390177022292,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.32522,1.1057e-05,367.58,tempered_martensitic,,20,,measured,1.013899313962155,-4.956362690407429,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.33806,1.12427e-05,367.58,tempered_martensitic,,20,,measured,1.01443904839593,-4.949129377887323,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.35115,1.14026e-05,367.58,tempered_martensitic,,20,,measured,1.0149886020547387,-4.942996110338263,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.36445,1.15352e-05,367.58,tempered_martensitic,,20,,measured,1.015546260766333,-4.937974871178138,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.37793,1.16429e-05,367.58,tempered_martensitic,,20,,measured,1.0161107370164282,-4.933938832647228,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.39156,1.17263e-05,367.58,tempered_martensitic,,20,,measured,1.0166807495336452,-4.930838999228661,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.40531,1.17876e-05,367.58,tempered_martensitic,,20,,measured,1.0172550234504685,-4.928574609905604,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.41916,1.18328e-05,367.58,tempered_martensitic,,20,,measured,1.0178327072485425,-4.926912475941486,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.4331,1.18675e-05,367.58,tempered_martensitic,,20,,measured,1.0184133700620317,-4.925640759609602,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.4471,1.18977e-05,367.58,tempered_martensitic,,20,,measured,1.0189957518072037,-4.924536985989905,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.46117,1.19351e-05,367.58,tempered_martensitic,,20,,measured,1.0195802596868855,-4.923173937841454,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.47531,1.19954e-05,367.58,tempered_martensitic,,20,,measured,1.0201668840772133,-4.920985265420509,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.48954,1.20738e-05,367.58,tempered_martensitic,,20,,measured,1.0207564434040433,-4.918156022421239,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.5039,1.22277e-05,367.58,tempered_martensitic,,20,,measured,1.0213505784988905,-4.912655224995248,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.51848,1.23642e-05,367.58,tempered_martensitic,,20,,measured,1.0219529855109792,-4.9078339785202605,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.53324,1.25515e-05,367.58,tempered_martensitic,,20,,measured,1.0225619797027388,-4.901304369577749,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.54827,1.27546e-05,367.58,tempered_martensitic,,20,,measured,1.0231812377320697,-4.894333156851662,0,1,20.0,0.22360679774997896
